@relation germany2
@attribute "Area Name" string
@attribute Type {'Rural','Urban'}
@attribute State {'Baden-Wuerttemberg','Bavaria','Berlin','Brandenburg','Bremen','Hamburg','Hesse','Lower Saxony','Mecklenburg-Vorpommern','NRW','Rhineland-Palatinate','Saarland','Saxony','Saxony-Anhalt','Schleswig-Holstein','Thuringia'}
@attribute Region {'West','East'}
@attribute "CDU 2005" numeric
@attribute "SPD 2005" numeric
@attribute "FDP 2005" numeric
@attribute "GREEN 2005" numeric
@attribute "LEFT 2005" numeric
@attribute "Non-Voters 2005" numeric
@attribute "CDU 2009" numeric
@attribute "SPD 2009" numeric
@attribute "FDP 2009" numeric
@attribute "GREEN 2009" numeric
@attribute "LEFT 2009" numeric
@attribute "Non-Voters 2009" numeric
@attribute "Pop. density" numeric
@attribute "Elderly pop." numeric
@attribute "Old pop." numeric
@attribute "Mid-aged pop." numeric
@attribute "Young pop." numeric
@attribute "Children pop." numeric
@attribute "Migration balance" numeric
@attribute "Social welfare" numeric
@attribute "Poor elderly inh." numeric
@attribute "Poor child." numeric
@attribute "High-school degree" numeric
@attribute "No school degree" numeric
@attribute "Child care" numeric
@attribute "Business Regstr." numeric
@attribute Income numeric
@attribute Employees numeric
@attribute GPD numeric
@attribute Unemployed numeric
@attribute "Unemployed Youth" numeric
@attribute "Permanently unemployed " numeric
@attribute "Agricult. workf." numeric
@attribute "Ind. workf." numeric
@attribute "Service workf." numeric
@attribute "Pub. serv. workf." numeric
@attribute Cars numeric
@attribute Tractors numeric
@attribute "Registrd. Web Doms." numeric
@attribute Bankruptcies numeric
@data
'Luebeck','Urban','Schleswig-Holstein','West',30.6,44,8.3,9.2,5.7,26.9,26.6,30.5,14,13.9,10.1,31.7,979.5,23.1,25.9,26.6,8.8,15.7,-1,0.8,24.1,6.6,27.7,7.7,14,94.1,17588,30.3,28469,12.2,13.2,44,0.3,37.9,55.2,41.3,413,1,0.137,116.2
'Neumuenster','Urban','Schleswig-Holstein','West',33.3,42.4,9.4,6.5,5.1,27.5,30.1,31,15,11,8.4,34.6,1073.5,21.9,26.2,25.2,8.9,17.8,1,1,14.9,8.7,35.8,5.8,12,108.7,16815,31.1,30206,11,12.8,30,0.4,14.4,23.3,13.4,477,1,0.096,131.5
'Dithmarschen','Rural','Schleswig-Holstein','West',41.7,35.7,10.5,5.1,4.5,22.7,36.5,24.3,18.8,8.4,7.9,28.9,94.7,23.1,27.4,23.6,7.7,18.3,1,0.4,22.8,6.7,20.9,7.2,7,108.6,17800,29.4,23551,9.7,11.2,35,3.3,20.2,21.5,18.1,523,8,0.106,86.7
'Herzogtum Lauenburg','Rural','Schleswig-Holstein','West',36.9,36.7,10.8,8.6,4.6,19.5,32.6,26.1,16.9,12.1,8.2,24.4,147.8,21.6,27.6,25.2,7.2,18.4,2,0.5,15,11.4,20,7.6,13,94.4,19604,33.8,18427,6.5,7.4,34,2.2,23.9,25.6,21.8,534,4,0.143,70.3
'Nordfriesland','Rural','Schleswig-Holstein','West',41.4,36.4,9.9,6.7,3.6,21.8,36.3,24.6,16.5,12.6,6.3,27.7,79.6,22.2,26.8,25.1,7.8,18.2,1,0.4,25.8,4.3,18.2,6.4,10,129.5,17675,31.1,28054,7.9,8.1,3,3.9,18.9,34.8,29,542,7,0.166,76.7
'Ostholstein','Rural','Schleswig-Holstein','West',37.9,38.7,10.4,6.6,4.2,21,32.8,28.4,17.7,10.5,7.2,27,147.2,25.4,28.7,23.4,6.8,15.7,5,0.7,28.7,4.3,20.3,7.2,12,101.3,18516,30.1,19067,8,8.6,34,2.7,20.7,35.3,30.4,526,4,0.132,140.5
'Pinneberg (Kreis)','Rural','Schleswig-Holstein','West',36.8,37.4,10.3,9.1,4.4,18.3,33.1,26.3,16.6,12.1,7.8,24.4,455.3,21.3,27.8,26,7.2,17.6,5,0.3,24.6,7.5,33.3,5.8,13,105.6,20360,34.9,23788,6,6.7,29,3.4,51.6,54.5,30.6,509,3,0.19,104.8
'Ploen','Rural','Schleswig-Holstein','West',37.3,38.5,9.5,8.4,4.1,17.5,32.7,27.6,16.1,13.6,6.5,22.3,124.2,22.7,27.9,25.7,6.6,17,2,0.5,22.1,4.8,20,7.3,14,86.8,18213,29.4,15880,7,7.6,33,1.8,11.2,16.5,16.9,520,5,0.127,50
'Rendsburg-Eckernfoerde','Rural','Schleswig-Holstein','West',38.1,37.3,10.1,8.2,4.1,19.1,33.9,26.6,16.1,12.9,6.5,24,123.8,21.2,28,24.7,7.3,18.7,1,0.7,17.3,7.1,22.1,8.9,10,95.6,18849,31.3,22253,5.6,6,29,4.2,30.6,43.5,42.4,551,5,0.136,144.6
'Schleswig-Flensburg','Rural','Schleswig-Holstein','West',39.4,37.3,10.1,7.1,4.2,20.2,35,25.5,15.5,12.9,7.2,25.2,95.8,21.5,27.5,24.6,7.5,18.9,2,0.8,29.9,4.3,15.8,8.7,13,111.1,17923,29.1,20325,8.5,10.2,4,4.4,20,30.6,28.6,548,7,0.133,171.2
'Segeberg','Rural','Schleswig-Holstein','West',37.4,36,11.6,8.1,4.4,19.9,33.5,24.8,17.9,11.4,8.1,25.7,192,20.1,27.9,26.4,7.4,18.2,3,0.6,18.7,8.5,26.1,5.4,13,115.7,19463,36.4,25079,5.1,5,29,2.7,47.6,50.5,31.9,557,3,0.161,82.3
'Steinburg','Rural','Schleswig-Holstein','West',37.6,37.4,10.3,7,4.6,21,33.6,26,16.7,11,7.9,27.2,126.3,21.2,27.8,25,7.8,18.2,-1,0.5,17.2,5.1,22.6,7.1,8,103.3,17986,32.3,26377,5.8,5.7,23,2.7,21.1,20.4,17.7,529,6,0.114,136.4
'Stormarn','Rural','Schleswig-Holstein','West',37.1,35.6,11.3,9.9,4.2,17.2,33.4,24.9,17.5,13.1,7.5,22.5,298,21.9,28.3,25.2,6.6,18.1,7,0.3,19.4,6.4,35.9,5.2,13,112.8,22312,35,26774,4.1,4.6,25,1.6,49.4,50,24.9,569,2,0.18,73.2
'Hamburg','Urban','Hamburg','West',28.9,38.7,9,14.9,6.3,22.5,27.8,27.4,13.2,15.6,11.2,28.7,2349,19,25,32.5,8.3,15.3,1,0.6,22.5,7.6,44.6,7.9,18,115.4,24137,33.9,49832,8.1,7.1,33,3.2,251.4,651.9,313.4,403,1,0.271,96.5
'Braunschweig','Urban','Lower Saxony','West',28.9,44.5,8.5,9.9,5.6,21.5,29,28.7,11.4,14.3,9.9,26.3,1287.5,21.3,25.6,29.4,9.1,14.6,8,0.3,19.9,9.5,42.7,6.6,16,79.9,19123,33.3,33660,9.2,7,40,0.2,48.6,73,51.6,451,1,0.182,117.8
'Salzgitter','Urban','Lower Saxony','West',29.5,50.8,6.2,4.3,5.7,23.2,29.6,36.3,8.9,7,12.3,29.6,462,23.3,28.2,23.4,8.2,16.8,-4,0.4,35,6.1,19.3,7.2,8,58.7,16866,31.5,30158,9.6,8.5,36,0.2,51.6,16.8,12.8,471,1,0.079,111.4
'Wolfsburg','Urban','Lower Saxony','West',32.1,46.5,7.6,6.2,4.5,22.5,35,31.7,9.7,9.1,8.5,29.4,593.5,23.7,26.4,26.2,8.2,15.5,7,0.2,27.3,11.7,36,3.5,15,64.6,18849,36.3,70074,7,6.1,44,0.2,112.7,34.8,17.7,902,1,0.082,82.9
'Gifhorn','Rural','Lower Saxony','West',34.9,43.1,8.8,6.2,3.9,19.2,36.6,30,11.4,8.9,7.7,26.4,110.8,18.3,28.7,25.2,8.1,19.7,-2,0.4,28.7,6.1,21.7,5.8,11,63,18061,35.4,14598,6.7,7.1,39,1.8,18.4,22.6,17.8,519,5,0.083,82.3
'Goettingen','Rural','Lower Saxony','West',30.3,41.6,9,11.5,5.1,19.8,28.5,29.4,13.2,15.4,8.8,25.4,232.1,19.2,27.4,27.9,9.9,15.7,0,0.5,22.3,6.1,37.8,4.6,16,77.4,18027,31,26545,9.7,9.3,5,1.6,41.8,49,53.8,471,4,0.136,69.1
'Goslar','Rural','Lower Saxony','West',32.4,44.7,9.3,5.4,5.5,21.5,31.3,31.8,13.2,7.9,10.7,27.9,149.9,26.3,28.4,23.3,7.4,14.5,-3,0.6,31.4,6,21.8,8.1,12,82,18188,29.2,21726,9.7,9.4,37,0.7,23.4,24.5,23.1,512,3,0.104,116.4
'Helmstedt','Rural','Lower Saxony','West',31.8,46.6,7.9,5.2,4.6,21.3,32.2,31.7,11.6,8.9,8.6,26.9,139.4,22.7,29.3,24,7.7,16.3,-4,0.4,30.7,9.1,27.5,3.8,12,69.4,18280,32.8,16432,9.1,9.7,43,0.8,10.2,10.3,11.1,521,3,0.069,139.2
'Northeim','Rural','Lower Saxony','West',30,47.8,9.2,5.7,4.4,20.2,29.2,34.8,13.7,8.5,9.1,26.2,110.9,23.8,28.9,23.3,7.5,16.6,-6,0.3,36.4,6,31,5.6,10,76.1,18206,32.4,20822,8.2,9.1,36,2.4,29.8,19.9,18.9,559,6,0.09,84.6
'Osterode am Harz','Rural','Lower Saxony','West',31,47.5,8.4,5,4.9,22,29.6,34.1,14.2,8,9,28.5,123,26.5,28.7,22.2,6.9,15.5,-6,0.8,26.2,2.9,22.8,6,11,68.2,18164,30.2,26434,9.9,10.6,3,0.5,21.4,11.2,10.6,553,7,0.086,101.7
'Peine','Rural','Lower Saxony','West',29,50.8,7.3,5.8,4.5,18.8,29.7,36.4,10.8,8.8,9.1,24.9,246.9,20.8,27.9,25.3,7.3,18.7,0,0.4,16.8,12.2,18.5,6.2,10,83.6,17895,33.9,17761,8,8.3,4,0.9,18.3,17.2,13.4,545,3,0.094,99.7
'Wolfenbuettel','Rural','Lower Saxony','West',32.5,45.1,8.2,6.7,4.6,18,31.3,32.3,11.4,10.7,8.6,22.7,169.9,22.2,28.9,24.3,7.2,17.4,-3,0.6,26.2,4.1,24.6,8,13,81.9,18118,32.3,15241,6.8,6.7,38,1.1,11.1,12.6,14.9,540,3,0.093,104.7
'Hannover','Urban','Lower Saxony','West',29,45.7,8.9,9.6,4.3,19.8,29.4,31.2,12.7,12.8,8.6,25.1,493.4,21.1,27,27.8,7.9,16.3,2,0.5,18.6,13.6,33.4,6.3,13,84.8,19079,33,34389,9.1,9,43,3.7,176.3,303.3,206.7,453,2,0.164,86.9
'Diepholz','Rural','Lower Saxony','West',32.7,41.9,10.9,7.6,4.5,20.7,33.5,27.5,15.9,10.2,8.4,26.3,107.5,20.9,28.6,25.1,7.4,18.2,0,0.4,28.9,4.3,23.2,4.5,10,109.2,18943,34.5,21963,5.3,5.9,32,4.2,34.9,40.5,23.8,562,7,0.126,107.2
'Hameln-Pyrmont','Rural','Lower Saxony','West',30.5,46.8,8.9,6.3,4.7,21.6,30.8,31.9,12.9,9.7,9.4,27.7,194.9,24.4,27.9,23.4,7.7,16.6,-2,0.5,27.9,6.7,23.6,6.6,8,83.4,18137,31.5,26357,9.4,9.8,37,1.4,26.7,27.6,24.2,534,3,0.105,133.5
'Hildesheim','Rural','Lower Saxony','West',32.4,47,7.2,7.1,3.8,18.5,31.8,32.9,11.3,10.5,8.1,24.8,236,22.4,27.8,24.7,8.2,17,-3,0.7,16.9,13.5,31.2,7.8,10,86.3,18286,31.9,21517,8.1,8.8,38,1.9,56.7,42.4,42.3,506,3,0.099,149.4
'Holzminden','Rural','Lower Saxony','West',27.8,47.5,11.8,6.1,4,20.3,26.4,34.9,16.8,8.9,8.5,27.2,107,25,27.8,22.8,7.7,16.6,-7,0.3,34.7,9,19.3,8.6,7,64.2,17889,31.1,22493,8.9,8.3,36,0.7,19.5,9.7,9.3,557,5,0.082,120
'Nienburg (Weser)','Rural','Lower Saxony','West',35.6,44.5,7.9,5.7,3.6,22.8,35.3,30.8,12.6,9.3,7.3,30.3,87.9,20.9,28,24.6,8.1,18.4,-3,0.6,28.6,7.6,21.1,5.3,10,72.2,17152,33.3,21353,7.3,8.7,29,2.7,22.6,17.7,16.7,545,8,0.091,102.8
'Schaumburg','Rural','Lower Saxony','West',31.3,47.5,8.3,6.3,3.6,19.9,30.8,33.8,12.7,9.8,7.8,26,239.4,23.1,28.2,24.1,7.3,17.3,-2,0.5,26.6,6.3,36.4,4.8,9,89.9,18494,31.1,18317,8.5,8.9,41,0.9,26.6,21.8,22.1,557,3,0.114,114.8
'Celle','Rural','Lower Saxony','West',37.7,39.3,9.9,5.9,4,21.2,37,27,15,8.4,7.1,28.1,116,21.9,27.6,24.3,7.9,18.3,-1,0.7,18.5,6.7,19.1,7.4,10,83.4,18047,31.1,23285,8.4,8.3,39,1.8,28.4,27.3,30,528,4,0.105,177.6
'Cuxhaven','Rural','Lower Saxony','West',33.8,44.1,8.5,6.3,4.5,21.5,34.2,30.3,12.7,9.1,9.3,27.8,97.1,22.9,28.7,23.6,7.1,17.7,1,0.3,44.3,8,16.3,8.6,9,77.5,18258,31.2,16734,7.8,8,42,4.4,20.3,25,25.3,544,7,0.088,127.3
'Harburg','Rural','Lower Saxony','West',36.6,36.9,11.5,8.7,3.8,17,34,24.5,16.9,12.2,7.3,22.1,197.3,20.9,28.7,25.3,6.8,18.4,6,0.3,19.8,10.9,26.2,4.3,12,110.8,22416,34,16601,4.9,5.3,28,3,21.7,38.5,24.4,573,4,0.159,98.3
'Luechow-Dannenberg','Rural','Lower Saxony','West',33.4,35.7,8.1,12.5,7.6,22.6,28.6,23.2,11,20.7,11.9,27.7,40.7,25.9,28.3,22.1,7,16.7,2,0.5,24.6,7.8,16.9,8.2,10,72.2,17298,26.9,18390,12,13.1,41,1.5,7.6,6.5,6.6,542,10,0.122,100.3
'Lueneburg','Rural','Lower Saxony','West',30,40.4,9.5,11.8,5.5,20.2,28.7,25.3,13,17.4,9.6,25.2,133.8,18.7,26.9,28.1,8,18.2,4,0.6,19,6.4,29.3,4.5,13,98.8,17907,32.3,20519,7.5,6.4,30,1.8,22.6,30,29.3,493,4,0.165,108.5
'Osterholz','Rural','Lower Saxony','West',28.3,44,9.5,9.5,5.7,19.5,30.6,29.8,12.6,11.6,10.9,24.3,172.1,20.9,29.5,24.5,7,18.2,0,0.3,17.1,5.4,26.5,7.2,9,85,19387,33.7,15685,5.1,5.2,5,1.3,10.3,16.2,13.4,558,5,0.105,140
'Rotenburg (Wuemme)','Rural','Lower Saxony','West',38.5,38.2,9.8,7.1,3.8,20.7,37.2,26.2,14.8,9.9,7.2,26.7,79.3,19.2,27.3,25.5,8.3,19.7,-2,0.7,20.7,6.1,20.6,8.3,10,89.1,18238,34,22753,5.4,5.8,3,3.9,25.6,27.6,27.5,562,9,0.119,107.3
'Soltau-Fallingbostel','Rural','Lower Saxony','West',35.3,42,9.3,6.3,3.9,21.3,35.5,28.2,13.6,9.4,8.2,28,74.8,21.3,27.2,24.9,8.2,18.4,-2,0.4,16.3,10.3,22,7.7,10,90.1,17502,32.7,25006,8.2,8.5,4,2.4,20,25.5,26.2,541,6,0.1,95.6
'Stade','Rural','Lower Saxony','West',35.1,41.6,9.3,7.3,4,20.8,35.4,27.9,13.8,10.3,7.7,27,155.6,19.4,27.8,25.9,7.8,19.1,2,0.4,21.4,9.2,22.8,6.9,8,87,19627,34.4,23880,7.2,7.9,42,4.5,29.8,36.4,22.7,536,6,0.157,86.6
'Uelzen','Rural','Lower Saxony','West',33.9,42.7,8.9,7.5,4.5,20.6,33.2,27.7,13.1,11.5,8.4,26.9,64.9,24.3,27.5,23.8,7.2,17.2,1,0.5,26.2,7.8,27.7,6.5,9,78.3,17411,30.1,20021,8.6,9.5,34,2.1,10.9,14.8,15.1,530,6,0.108,43.7
'Verden','Rural','Lower Saxony','West',31.2,43.4,8.9,8.7,4.4,20.2,33.2,28.8,12.3,12.1,8.6,25,169.2,19.9,28.9,24.8,7.7,18.7,0,0.3,18.8,8.8,29.3,5.4,12,93.7,21251,34.8,24028,6.1,5.3,5,1.9,25,25.5,15.9,561,5,0.121,133.4
'Delmenhorst','Urban','Lower Saxony','West',27.2,46.8,9.4,6.8,6.3,25.1,29.9,28.7,12.1,9.9,12.5,32.5,1194.9,21.3,28.2,24.9,8.3,17.3,-1,0.7,21.4,6.5,23.4,6.9,7,87.2,17583,32.7,19246,10.2,9.9,37,0.2,8.5,15.8,12,486,1,0.09,114.8
'Emden','Urban','Lower Saxony','West',19.6,60.2,6.1,7.2,4.6,25.1,20.3,41,9.6,12.4,12.2,32.9,456.5,20.5,26.8,26.4,9.2,17.2,-2,0.5,18.1,10.5,30.5,7.3,10,50.6,16543,29.3,38162,11,8.4,44,0.1,26.3,13.5,8.9,403,2,0.104,114.2
'Oldenburg (Oldenburg)','Urban','Lower Saxony','West',25,44.2,8.3,14,6.3,21,25,27.5,12.9,18.2,11.2,26.4,1566.8,18.4,26.6,29.7,9.4,15.9,8,0.4,16.3,11.7,38.8,6.7,13,94.5,18650,31.9,35020,9.7,9.2,39,0.2,17.8,51.2,41.8,469,1,0.223,99.8
'Osnabrueck','Urban','Lower Saxony','West',32.4,40.2,9.8,11.7,4.2,21.9,30.6,26.7,14.2,15.2,9.1,27.2,1364.9,19.9,25.5,30,9.9,14.8,3,0.4,25.6,10.9,40.9,4.9,11,106.7,18881,31.1,38780,8.1,7.4,35,0.2,32.7,56.8,39.8,443,1,0.45,81.4
'Wilhelmshaven','Urban','Lower Saxony','West',29.4,46.7,8.1,5.6,5.9,24.7,28.8,30,13.5,8.8,13.1,32.3,758.9,24.4,27.9,24.2,9.2,14.3,3,0.6,30.7,9.3,25.5,9.4,8,67.3,17005,26.7,33448,12.1,7.8,48,0.1,11.5,15.1,22,446,1,0.101,102.2
'Ammerland','Rural','Lower Saxony','West',32.7,43.7,10.6,7.1,3.7,20.7,32.4,26.7,16.9,11.6,7.7,26.7,161.3,20.5,28,24.9,7.5,19.2,6,0.3,28.6,8.1,19.6,6.4,10,96.5,19344,33.5,21930,6.2,5.8,5,4.1,21.2,21,14,561,6,0.122,95.8
'Aurich','Rural','Lower Saxony','West',26.2,54.8,6.2,6,4.4,22.1,25.6,38.2,10.6,9.9,11.3,29.2,146.8,20.2,27.8,24.6,8,19.3,1,0.3,31.8,9.9,19.3,9.5,6,78.4,16554,30.1,19186,9.2,7.6,37,3.3,22.4,32.3,24.7,512,6,0.103,69.7
'Cloppenburg','Rural','Lower Saxony','West',56.7,26.2,9.5,3,2.4,23.9,54.2,17,15,5,5.6,32,111.1,15.8,25,26.9,9.5,22.8,1,0.4,22.3,11.9,16.5,6.1,6,116.6,16604,33.6,23365,6.4,5.8,31,6.1,43.2,24.3,17,502,8,0.078,87.5
'Emsland','Rural','Lower Saxony','West',53.3,29.7,8.8,3.8,2.7,19.9,50.3,19.4,14.8,6.4,5.7,26.3,108.6,17.5,26.4,26.7,9.1,20.3,-2,0.3,17.9,19.8,23.7,5.9,8,99,17390,32.5,30117,4.6,4,4,6.7,88.2,56.8,42.6,523,7,0.081,96.1
'Friesland','Rural','Lower Saxony','West',29.3,47.4,9.6,6.4,4.4,21,28.7,31.8,15.5,10,9,27.6,164.3,23,28.3,23.2,7.5,18.1,0,0.4,22.6,9.6,16,7.2,11,82.4,17253,30.4,18861,7.6,6.9,38,1.3,12.3,16.9,14.1,561,4,0.107,72.7
'Grafschaft Bentheim','Rural','Lower Saxony','West',42.1,39.9,8.2,5,3.2,19.6,41.7,28.4,13.7,7.2,6,26.2,138,19,26.3,25.9,8.6,20.2,-1,0.3,33.4,5.7,20.4,8.1,9,83.5,16182,30.6,22433,4.6,3.1,1,2.4,29.2,25.5,16.8,520,6,0.092,84.8
'Leer','Rural','Lower Saxony','West',30.1,50.6,6.8,4.9,4.9,22.7,30.6,34.7,10.8,8.6,10.6,29.4,151.8,19.6,27.1,25.4,8.4,19.5,2,0.4,24.8,9.5,15.1,9.3,6,89.8,16598,29.5,24265,8.5,8.4,4,2.5,18.5,30.1,20.9,515,6,0.093,57.3
'Oldenburg','Rural','Lower Saxony','West',30.7,41.3,12.7,8.4,4.4,19.3,32.5,25.7,16.8,11.5,8.5,25.2,119.1,19.2,28.5,25.3,7.6,19.4,7,0.4,23.6,8.1,13.1,7,11,104,18944,33.8,17097,6,6.8,4,2.3,19.8,18.4,12.5,558,6,0.116,84.5
'Osnabrueck (district)','Rural','Lower Saxony','West',40.6,38,9.6,6.6,3.2,19.3,38.9,26.5,14.5,9.4,7.2,25.5,168.3,19.1,27.2,25.5,8.4,19.8,-2,0.4,28.3,5.1,16.6,6.4,10,85.5,19107,35.3,21114,4.7,3.9,7,5.9,84.9,56.7,37.3,542,6,0.093,97.7
'Vechta','Rural','Lower Saxony','West',57.7,24.3,10.9,3.6,2.1,20.5,54.8,16,16.2,5.6,4.5,27.4,164.3,15.2,25.4,28,9.8,21.6,1,0.3,31.5,15,26.6,6.1,11,100.8,19762,37,29876,4.2,4.6,24,5.7,45.6,27.6,18.8,514,7,0.09,58.9
'Wesermarsch','Rural','Lower Saxony','West',27.1,52.7,7.8,5.8,4.4,23.1,30.3,33.2,12.9,9.4,10,30.2,111,21.5,28.5,23.6,7.8,18.6,-4,0.6,27.2,9.6,24.9,4.3,8,92.2,17523,32.2,29127,8.1,9.3,40,1.5,23.3,12.5,9.9,507,7,0.078,107
'Wittmund','Rural','Lower Saxony','West',34.3,45.1,8.8,5.1,4.1,25.1,32.5,31.1,14.9,8.1,9,32.3,87.4,21.2,28.1,24.1,7.8,18.8,1,0.3,45.7,5.6,23.5,5,9,80.5,17126,29.4,19346,8.5,7.4,30,1.5,6.3,9.1,8.8,534,9,0.127,72.3
'Bremen','Urban','Bremen','West',22.6,42.1,8.2,15.2,8.6,23.8,23.7,29.8,10.7,16.2,14.2,28.6,1683,21.4,26.4,28.2,8.8,15.1,4,0.5,26.1,8.5,32.7,5.1,12,93.7,21752,31,38680,10.3,8.3,43,0.8,118.1,165,103.2,397,1,0.155,105.1
'Bremerhaven','Urban','Bremen','West',23.7,47.2,7.6,9.5,7.6,27.8,25,32.4,10.2,11.7,14.7,34.9,1446,22,27.8,24.9,9.1,16.2,0,0.4,19,5.4,32.7,9.2,8,103.1,18294,28.7,30418,16.7,15.4,48,0.1,21.8,32,21.4,385,1,0.082,158.4
'Duesseldorf','Urban','NRW','West',33.9,36,12.5,9.6,5.3,22.6,32.1,24.2,17.9,12.6,8.6,28.9,2698.7,19.8,26,32,7.3,15,4,0.4,29.8,4.4,35.6,8.4,17,130.9,22520,33.9,66814,9.6,5.7,48,0.8,99.9,297.6,131.2,462,0,0.29,152.4
'Duisburg','Urban','NRW','West',22.9,52.3,6.2,7.3,7.6,25.5,25.1,38.2,9.3,8.5,12.5,35.2,2113,21.5,27.2,26.3,8.3,16.8,0,0.5,25.5,7.1,28.3,8.5,7,93,15968,30,29576,12.7,9.6,47,0.2,94,97.4,68.2,429,1,0.105,206.1
'Essen','Urban','NRW','West',27.6,46.7,7.8,8.3,6.4,22.6,27.2,35,12.3,10.3,9.7,30.3,2740,22.4,27.6,26.3,8.2,15.6,-1,0.6,32.5,6.6,35.1,8,11,97.3,19064,30,38744,12.3,10.8,49,0.3,72.8,155.8,106.6,452,1,0.16,215.6
'Krefeld','Urban','NRW','West',33.2,38.3,11.8,8.4,5.3,25,32.6,27.5,15.7,10.8,8.6,31.9,1709,21.5,28.3,25.7,8.1,16.4,0,0.5,19.5,8.6,31.5,7.6,10,99.6,18627,29.7,30664,10.7,7.9,45,0.6,55.6,50.9,33.4,448,1,0.141,204.9
'Moenchengladbach','Urban','NRW','West',39,34.5,12.1,6.2,5.3,27.5,35,24.5,18,8.9,8.3,36.1,1515.1,20.4,28,25.7,8.7,17.2,1,0.6,27.5,7.7,30.3,7.7,8,114.1,19325,30.7,25617,11.5,11,45,0.5,47.2,55.8,37.3,465,1,0.141,171.8
'Muelheim an der Ruhr','Urban','NRW','West',27.9,46.6,8.8,7.8,6.2,19.3,27.3,34.2,14.3,10.3,9.3,26.3,1834.5,24.2,28.6,24.4,7.4,15.5,0,0.5,19.9,7.1,34.9,4.7,9,66.7,22272,31.1,37457,8.3,5,3,0.2,35.8,38.7,20.3,510,1,0.146,171.7
'Oberhausen','Urban','NRW','West',22.9,54.2,6.1,6.7,6.9,23.2,24.1,39.5,10,8.9,11.6,31.5,2775.6,20.9,28.9,25.6,8.1,16.5,-3,0.4,26.5,6.5,28.5,7.4,8,83.2,16644,30.8,23094,12.2,11.9,52,0.1,29.2,44.1,25.4,464,0,0.118,216
'Remscheid','Urban','NRW','West',32.8,39.2,12.1,6.6,6.1,24.6,32.5,27.8,15.7,8.7,9.8,31.1,1493.6,22.2,27.3,24.4,8.4,17.6,-8,0.5,21.7,5.4,29.7,5.4,10,84.6,22131,33.1,28193,8.3,6.9,43,0.1,40.8,21.2,14.9,501,1,0.121,220.1
'Solingen','Urban','NRW','West',32.8,38.1,13.1,7.1,5.7,23,31.5,26.2,16.7,10.6,9.4,29.9,1799.2,21.9,27.5,25.5,8,17.2,-1,0.5,27.4,6.6,34.2,5.6,9,91.4,21182,32.6,23364,8.7,8.4,41,0.1,39.7,24.8,20.7,496,1,0.15,154.7
'Wuppertal','Urban','NRW','West',29.4,40,10.9,9.2,6.8,23.7,29.2,27.2,14,12.7,11.2,31.8,2084.9,21.6,27.3,26.1,8.5,16.5,-3,0.5,25.7,9.2,33.1,7.7,8,88.8,20069,30.6,28152,11.6,13.1,43,0.2,71.2,67.3,53.5,437,1,0.24,235.7
'Kleve','Rural','NRW','West',44.4,33.1,10.7,5.6,3.8,22.1,42.2,23.5,16.1,7.9,6.1,29.9,250,19,28.6,25.5,8.4,18.5,1,0.5,34.3,4.1,22.8,4.9,7,115.6,18223,30.1,25844,5.8,5.7,4,7.9,45.4,51.5,41.4,528,4,0.116,115.5
'Mettmann','Rural','NRW','West',36.6,37.1,12.1,6.8,4.7,20.1,34.4,25.7,17.6,9.9,7.5,26.7,1219.5,22.8,28.5,24.6,7.4,16.6,-2,0.4,26,6.6,30.4,5.1,11,101.8,22176,33.2,29817,6.8,5.7,42,1,117.8,113.6,56.6,533,1,0.158,161
'Rhein-Kreis Neuss','Rural','NRW','West',41.5,32.7,13,6.2,3.8,20.5,38,23,19.4,8.3,6.1,27.1,768.6,20.7,28.5,25.7,7.6,17.5,1,0.4,24.1,10.3,34.4,4.8,10,100.2,21928,33.6,30950,6.5,5.3,41,2,76.6,90,51,541,1,0.192,161.1
'Viersen','Rural','NRW','West',39.7,33.7,12.8,6.7,4.4,21.5,37.9,22.6,18.5,8.9,7.3,27.8,535.8,20.3,29,24.9,7.8,18.1,0,0.4,28.5,6,32.3,5.4,9,117.7,20161,32.2,22808,6.4,5.6,36,3.5,54.6,52.6,33.4,541,3,0.155,180.3
'Wesel','Rural','NRW','West',30.1,47.4,8.3,6.7,5,19.8,30.3,34.7,12.4,8.9,9,27.2,451.2,21,29.6,24.5,8.1,16.9,0,0.4,26.1,7.4,28.1,5.3,7,87,18922,31.7,21734,7.4,7.1,41,3,69.6,77.2,59.3,534,2,0.115,184.1
'Bonn','Urban','NRW','West',34.7,31.9,13.7,13.3,4.4,18.7,31.1,22.5,19,16,7,23.6,2264.8,18.5,26.4,30,8.4,16.7,5,0.6,15.1,5.9,46,4.5,17,94.8,20182,30.6,59957,7.7,6.6,41,0.2,26.3,102.8,114.8,489,0,0.374,149.6
'Cologne','Urban','NRW','West',27.2,38.1,11.5,14.9,5.8,23.8,26.9,25.7,15.6,17.9,9,29.4,2463.4,18.4,25.3,32.1,8.5,15.7,2,0.5,23.8,6.9,34,5.5,16,125.7,20298,33.5,44594,10.8,8.1,48,0.4,152.9,374.2,198.6,427,1,0.288,149.3
'Leverkusen','Urban','NRW','West',32.5,41.3,10.6,7.9,4.7,21.8,32.6,27.4,15.4,10.4,8.4,28.9,2036.2,22.5,26.9,26,7.7,16.9,-2,0.4,20.9,4.4,40.1,3.4,11,83.8,18354,33.7,34890,9.4,9.2,45,0.1,36.9,33.5,21.6,492,1,0.151,207.2
